#,Subject,Author,Status,Related issues,Description
29897,hook: controller_issues_bulk_edit_after_save,Julián Maestri,Closed,Is duplicate of #8757,"From https://www.redmine.org/issues/8757

To avoid the problems with stopping the bulk update if something fails on the hook, iterate over the saved issues after saving them"
29687,Keep history for comment editions,Peter Volkov,Closed,Is duplicate of #12388,"Whenever I edit a comment it is updated but as far as I can see there is no history for that. We need history for all changes in the redmine. At least for comment edits.

Probably this was reported in #9441 but due to bad style, it was considered as spam."
29624,Possibility of auto updates to the latest stable version?,Anonymous,Closed,Is duplicate of #9020,"As an example, Simple Machines Forum software, while is made in PHP, but can notify a user with a red text about availability of a new version on simplemachines.org in it's admin panel, and then has the button to update itself to the latest version. It will then check the integrity of the current version and if everything is valid and ready for an upgrade, it would then install the update and migrate everything required. This makes it very convenient for the user.
Would anything like this be possible with Redmine?"
29615,Add has source revisions/check-ins to issue filters,Peter Berkman,Closed,Is duplicate of #28170,"it would be very handy to have a filter criteria for if the ticket is associated with any source code revisions/check-ins.  

If set, the issues list would only contain tickets that are associated with source code Revisions."
29519,Issues Section/Tab -Allow issues to be grouped by Parent,Bharat Shah,Closed,Is duplicate of #5325,Allow user to select parent issue in group by choices
29471,Allow for calling users by their username,Kamil .,Closed,Is duplicate of #13919,"This is very popular function in modern tools (like GitHub, Slack, Jira, BitBucket...)
It should be possible to ""call"" the user by username (e.g. using @username syntax) in comments.
An suggestion box should be displayed while typing.
Called user should receive email notification and have his name highlighted in comment."
29254,Start date and due date in issue email notification,Senya Senya,Closed,Is duplicate of #13307,""
29212,export gantt chart to  csv file,Randa Bustami,Closed,Is duplicate of #3097,can you add a feature to export gantt chart to csv file beside pdf and png format where pdf doesn't  support Arabic font
29181,Edit fields in the grid,Matias Fusaro,Closed,Related to #9184,"Hi, I wanted to propose that somehow edit the fields of the issues in the grid be implemented.
It would be a quick way to edit the fields and grant extra features.
Thank you."
29131,'View all Issues' adds project custom fields  Columns displayed on the issue list,zhangzhi liao,Closed,Is duplicate of #18006,"'View all Issues' adds project custom fields  Columns displayed on the issue list is very helpful feature!



"
29097,Migrate tickets from jira to redmine,Sampath Kumar,Closed,Is duplicate of #1385,"Hi I am new to redmine and we have installed it for cost effective purpose. Can any one help me out with the list of steps that should be followed for migrating the tickets from Atlassian JIra to Redmine.

Your help will be highly appreciated"
29074,"Add ""Edit"" function to entries in ""Spent Time"" block appropriately",J Ellis,Closed,Is duplicate of #26655,"In previous versions of Redmine, the ability to edit time entries from the ""Spent Time"" section of My Page  was used by my team fairly frequently.  Can that ability be returned as appropriate when the user has proper permissions?  The workaround right now is to open the issue, open the spent time for that issue, THEN click the entry that needs to be edited.  "
28924,Issues filter: Adding a <<Nobody>> special entry to the user list,Christian Dröge,Closed,Is duplicate of #5535,"Sometimes it would be useful to have a special entry like <<Nobody>> in the user list, when filtering issues. The use case is the following: A user wants to filter issues, that are assigned to him OR are assigned to nobody, so that he can find issues to work on. Currently he can only filter for one specific user or a list of existing users, but he cannot select ""nobody"" as an additional user. So he has to open the issue list two times with different filters.

There was already a similiar request in #689, but it is no possible to have a filter like: ""Assigned to <<Me>> OR <<Nobody>>""

Thank your for considering this feature request."
28913,Watcher Changes tracked in History,James H,Closed,Is duplicate of #9122,"Would like Redmine to track when watchers are added or removed.

Currently does not track watcher changes and some users get confused as to what things they should have gotten email notifications on or not. Clear history will make clear whats going on.
Prefer if adding/removing watchers does not refresh page (like how it currently works), but if watcher is added as a part of journal entries, it might have to."
28893,Show number of attached files in Wiki Files-Link,Erik E,Closed,Is duplicate of #27090,"Right now, you have to click on the ""Files"" link below the wiki (to open the section) to see whether there are any files or not.

I think it would be very useful to show the number of currently attached files in brackets, like

Files (0)

or 

Files (42)

I guess this would have no real performance implication and help the user very much.

Thanks for any feedback to this idea!"
28683,My Page Issues Block limit configurable, ,Closed,Is duplicate of #28011,"i think it would be a nice and easy thing, to have the issue queries on the »my page« changeable. currently they are hardcoded to 10, which make them a bit useless to our type of work environment.

"
28614,Issue Watcher view Issue when not in project group,Gerhard Neuhofer,Closed,Is duplicate of #23546,"Hi, 

is there a way to let watcher view issues that they are not assigned to the projekt. 

best"
28533,Add a description in a custom queries,Diego Gonzalez,Closed,Is duplicate of #9309,"I have more than 40 different querys and it would be practical to be able to add to each one, a description of the results that it brings."
28514,issue delete button confusion,Marc Mengel,Closed,Is duplicate of #26662,"In 3.4.3, if your last issue history item is only one or two lines, you end up with the history item delete button (trashcan) directly above the whole-issue delete button (trash can plus ""delete"") so that it is really unclear whether the ""delete"" text button goes with the history item or the whole issue, leading to accidental issue deletion.

We should add a separator between the history list and the item action buttons.

To reproduce: 

* Add a one line Note to an issue and save it.
* look at the delete buttons a the bottom right corner of the page.  

!redmine_issue.png! 

If we put some <hr>'s in the issue show template (patch attached) it becomes obvious that the ""delete"" text does not go with the history item, but with the whole issue.

!after_patch.png!"
28473,Using the classical 'list' view on projects,Paul Webster,Closed,Is duplicate of #26853,"I believe quite a few versions back there was a 'list' like view, 1 project per 'row' almost on the project page, is it possible to regain this view?"
28405,Allow assigning issue to any user,Wojtek …,Closed,Is duplicate of #8629,"Currently it's possible to assign issue only to project members (and original author of the issue). It would be helpful to allow (for example only to admins / superusers) assigning issue to any user in the system (for example adding small ""+"" icon next to the default dropdown).

It's already possible with watchers and it would be helpful for ad-hoc tasks."
28368,regarding watcher added in private project but not getting notification ,pradeep pal,Closed,"Related to #16133, Is duplicate of #8488","Hi 
   Created private project in redmine with role and permission called (viewownissue). when adding watchers , their are not getting notification nor email with ticket link 

Can anyone help with this "
28312,Option to automatically add user as watcher to an issue if they edit an issue they're not currently involved with,Colin 't Hart,Closed,Is duplicate of #1737,"We occasionally get users updating issues that they didn't create, nor are they watching.

What happens then is they don't get email -- neither for the update they made, nor for any future updates.

What we would like is to automatically have such a user added as watcher to the issue.

Suggest that this be made an option, with it default to ""off"" for old behaviour."
28223,Lack of access for Watchers if visibility=Issues created by or assigned to,RedChris B.,Closed,Is duplicate of #23546,"Dear,
I would like to report that there is lack of possibility to set access to issues for Watchers if the issues visibility is set as ""Issues created by or assigned to the user"".
In general it is possible to set the issues visibility as ""ALL issues"" but this is not a good solution when you want to limit access to some issues for certain people (more than author and assigned to).

Therefore, I kindly ask developers for modifying existing or adding a new option of issues visibility that would provide access for the author, the assigned and additionally for the watchers."
28202,Allow updating existing issues via CSV import,hoyfkd hoyfkd,Closed,Is duplicate of #23448,"It would be very helpful to be able to update existing issues through the CSV import function.

"
28086,Add context menu for attributes in issue details,Bernhard Rohloff,Closed,Related to #28829,"In addition to the nice improvements in #10485 and #28067 I would like to propose to also add the context menu to the attributes in the issue details view.
One can move through the stack of issues and quickly change the status or priority without the need of entering the edit mode.
This allows the user to manipulate attributes of the issue without leaving the context."
28085,Wiki Toolbar on Full Width Custom Fields,Stephen Stuart,Closed,"Related to #21705, Is duplicate of #29712","Upon upgrading to version 3.4.4 we noticed we now have the ability to have custom long text fields with Full Width Layout and Text Formatting options.  

When editing an issue, fields with these options should also have the wiki toolbar displayed.

We were able to make it appear by adding a call to wikitoolbar_for in app/views/issues/_form_custom_fields.html.erb as follows:

<pre>
<% custom_field_values_full_width.each do |value| %>
  <p><%= custom_field_tag_with_label :issue, value, :required => @issue.required_attribute?(value.custom_field_id) %>
  <%= wikitoolbar_for custom_field_tag_id :issue, value.custom_field %>
  </p>
<% end %>
</pre>

Note that I'm not checking the Text Formatting option so all full width fields have the toolbar."
28081,"Option to keep last spent-time date on ""create and continue""",Andrea Cappalunga,Closed,Is duplicate of #29308,"When you have to add time spent in previous days, 
it could be useful to ""continue"" adding entries on the date you previously inserted.

Without that our team often insert wrong dates because date it's being automatically resetted to ""now"""
27920,Show button to create new version in issue form even if all versions are locked or closed,Ivan Cenov,Closed,Is duplicate of #4569,"If all versions are closed or locked and there is no any version opened, there is no way to create new version when creating new issue or editing existing issue.

When there are no opened versions the field ""Target version"" is not shown and the (+) button next to it is also not shown.

I think that this is omission, because if there is at least one opened version, the (+) button for creating new version is shown."
27879,Does redmine support bulk edit time log?,灿伟 姚,Closed,Is duplicate of #26534,""
27875,SQL custom query,Tai Le Trinh Huu,Closed,Related to #5098,"dear friend,
I would like to get help with a custom query which I can get data from Redmine Database with below field and condition
Issue ID/ Tracker/ Subject / Author/ Assignee / Created / Start time / Closed / Status /Custom field 1/ Custom field 2 / Category / Priority
and the condition to get data from date to date ( between ddmmyyyy - ddmmyyyy)
thank you so much !
"
27870,API for editing/deleting notes in an issue,Serg Astra,Closed,Is duplicate of #10171,"Hi
Could you please create API for editing/deleting?
I found this comment #25793#note-7 from Toshi MARUYAMA but I can't understand how to do that.

Thanks."
27864,Subtasks inherit parent settings during copy,Alessandro Zucchi,Closed,Is duplicate of #14342,"Hi,
often I copy issues across versions. My issues have a lot of subtasks.
It would be useful if when I set, for example, version or status on  parent issue the same are set on the subtasks.
Without this I must modify them afterwards, and this in not always easy.

Regards
Alessandro
 "
27680,Changing Subject Line in email notification when an issue is created or updated,Shakeel Masood,Closed,Is duplicate of #13981,"Currently the format is as follows:

<pre>
[ProjectName - Task #4983] (Closed) Email Notification Test1
</pre>

For email security reasons, we would like to add '#' at the beginning of the subject line:

<pre>
#[ProjectName - Task #4983] (Closed) Email Notification Test1
</pre>

Is it possible?  If so, then how?

Thanks,
Shakeel Masood
MegaChips Technology America,
San Jose, CA 95134, USA.

"
27677,New notfication settings value in role setting ,Heiko Böhme,Closed,Is duplicate of #8488,"it's possible to implement a fourth value for notifications type in role setting -> issue visibility -> ""issue created by or assigned to the user or user is watcher"" ? 

In a project / issue in which the user is not the creator or assignee, he cannot receive updates via e-mail although he is an watcher. This fourth value could change this behaviour?

Thanks and best regards, 
Heiko

"
27541,New optional column for issue list: number of comments/updates,Robert Schneider,Closed,Is duplicate of #684,Just to get a quick impression if a ticket was updated/commented at all or if it is heavily discussed. If no comment/update was done yet an empty string instead of a '0' could be shown.
27528,Custom fields list type improvement,Aleksandar Pavic,Closed,"","Every custom field in database has it's own ID in *custom_fields* table, and it's accessible thru *API*.

However, when type is *LIST*, +list item values should be stored in separate table+, because of relational database integrity.

If Redmine is to be integrated with some other software via API, and it needs to use custom fields of type LIST, integration can be
performed only by value not by value's ID, which means, if someone changes value, 3rd party application's database integrity is lost, if it were ID, then integrity won't be lost, as it's in every other table of Redmine, or any other relational database. "
27401,Switch from View ticket to Edit Ticket - hit the button E on your keyboard,Ralf Roeber,Closed,"Is duplicate of #449, Is duplicate of #6846","Coming from Confluence I really love that ""E"" button on my keyboard.
Whenever I hit redmine and try to edit a ticket, pressing the ""E"" key makes me wonder, why Redmine not offers this handy, candy key to open the edit view of the ticket.
.
Pls add a keylistener to ticket view switching from VIEW to EDIT, when hitting ""E"" on the keyboard.
.
Would love to support you, testing the feature.
.
Thanks for taking my humble thoughts into consideration."
27365,Filtering by two or more values for parameters without choosable options,Oleksandr Vasylenko,Closed,Is duplicate of #1140,"Hi!
Is there an opportunity to insert for parameter ""Subject"" several values for filtering?
For example, I want to exclude issues which contain two or more values (as I can do with ""Tracker"" or ""Status"" parameters)"
27328,edit the time of the user,amit badia,Closed,Is duplicate of #3848,"hi 
i need to know how do i add time as a project manager for the user on the project. certain time i face this issue to add time manually like 3 months back time to be added manually. 
i need this feature for the projects managers and above "
27234,I need put the custom fields lavel in multiple language,Jorge Garcia,Closed,Is duplicate of #3972,"Internationalization the custom fields is very a very important feature y think is posible since the creation of the custom field, only for administrators. Then if i change the language of redmine in my perfil, change the language of the of custom field.
Its posible?"
27128,Ability to choose default sort by column for all projects,Aleksandar Pavic,Closed,Is duplicate of #7360,"Much like what's available when new saved query is created.

Preferably it should be shown in *admin | Settings | Issue tracking*

at *Default columns displayed on the issue list* section.

For example, from saved queries page:
!2017-10-05 13_10_30-RCOM.png!"
27036,Ticket status closed,Martina A.,Closed,Is duplicate of #13814,"Hello

after the ticket status is ""closed"" several changes are still possible. For example one can add a comment or log the time.
Is it possible to prevent this for special users?

Thanks"
27028,Issue's visibility for the watchers,Tigergm Wu,Closed,"Is duplicate of #8488, Is duplicate of #23546","Would you please consider the feature of extending the issue's visibility for the role to this issue's watchers?
This is a moderate choice for administrator between the none-private and assign & author.
Maybe there's influence for current role's authorization. You guys please think about it. Thank you so much.
"
26861,Display Issue Edit form Position according to comments chronological order,Stephane Evr,Closed,Is duplicate of #23518,"So I've set up my Redmine to display issue comments in reverse chronological order.

I have an issue with hundreds of comments. When I hit Edit, the form is displayed at the very bottom of the page.

To me, it would make more sense that the Edit page shows above the latest comment, so there is no need to Scroll all the way up to see what are the latest comments as I am adding new ones.

So:

- ""Show comments in chronological order"": Edit form is at the very bottom of the page
- ""Show comments in reverse chronological order"": Edit form is displayed above the top comment

Does this makes sense?"
26709,Use correct http status codes,Pavel Rosický,Closed,Is duplicate of #34766,"1/ redmine ignores accept headers and jquery dataType attribute

The Accept request-header field can be used to specify certain media types which are acceptable for the response.

If no Accept header field is present, then it is assumed that the client accepts all media types. If an Accept header field is present, and if the server cannot send a response which is acceptable according to the combined Accept field value, then the server SHOULD send a 406 (not acceptable) response.

http://api.jquery.com/jQuery.ajax/

The type of data that you're expecting back from the server. If none is specified, jQuery will try to infer it based on the MIME type of the response (an XML MIME type will yield XML, in 1.4 JSON will yield a JavaScript object, in 1.4 script will execute the script, and anything else will be returned as a string). The available types (and the result passed as the first argument to your success callback)

examples:
<pre>
curl -v -H http://demo.redmine.org/issues.json
-> 200 + json OK!

but
curl -v -H ""Accept: application/json"" http://demo.redmine.org/issues
-> 500 no builder for format

expected (with patch)
-> 200 + json output
</pre>

in some cases html is returned even if json was requested

2/ 406 error raises exception
<pre>
curl -v http://demo.redmine.org/issues.xxx
-> 406 + exception ActionController::UnknownFormat

expected (with patch)
-> 406 no exception
</pre>

3/ csrf protection - useful to avoid exceptions because of site-scanner bots
<pre>
curl -v -H ""Accept: text/javascript"" http://demo.redmine.org/issues/new
-> 422 + exception ActionController::InvalidCrossOriginRequest: Security warning: an embedded <script> tag on another site requested protected JavaScript.

expected
-> 400 - no exception
</pre>"
26656,Search Assignee,Yulia Ploshevsky,Closed,Is duplicate of #21662,"Hello,

It will be very useful to have search for assigners when editing issue. I have a bunch of people I need to pick from, and a search as in watchers can be great. "
26653,REST API - Add full CRUD support for News,Guillaume Masclet,Closed,Related to #13468,"To date, as I see on [[Rest_News]], the current _News_ resource of the REST API is read-only, in prototype status.

Could you add missing CRUD operations to this resource (create, update and delete) ?"
26641,Display and export project information,Randa Bustami,Closed,Is duplicate of #29482,"can we have report display all project information as  table  including custom fields  and can be exported to excel

"
26639,Enabling creating issue within the project regarding the subproject,Yulia Ploshevsky,Closed,Is duplicate of #12704,"Hey,

Im managing many projects, which do not have trackers as they are something general. 
Under each project I have a lot of subprojects, in which I do have trackers for issues creation. 
I would like to be able to create an issue straight from project (*without* accessing the subproject), but the issue *must be* related to specific subproject
Is it possible to create such option? I could not find any info regarding it. 

Thanks "
26553,Overly restricted number of ReST results,Michael Gerz,Closed,Is duplicate of #16069,"Currently, ReST queries are limited to 100 elements.

This makes it impossible to, e.g., retrieve all users in one query.

Given today's computing power, please check whether the limit can be lifted.

A proposal is given in the attached patch."
26529,Email notification when watcher is added and removed,Cacilda de Miranda Lira,Closed,Is duplicate of #1757,Allow observers to be warned when they are inserted or removed from a task.
26527,Show previous comment version when editing an issue comment,Robert Barnebeck,Closed,Is duplicate of #12388,"I am able to edit an issue comment. I want to give this right to the other users too. But currently there is nowhere a hint that the comment has been edited. The disadvantage is that a user can manipulate a conversation and nobody gehts knowledge of that.

It would be great if I could see how often a comment was edited and the user can have a look to the previous versions. If too hard, the small, but helpful alternative would be, to show the amount of edits and the author/time of the last edit."
26494,Add ability to enable\disable multiple columns on project list page,Максим Цуприк,Closed,"Related to #26853, Is duplicate of #29482",Currently all project list  displays on multiple columns. What about to add abbility to disable this feature? 
26467,expand & collapse gantt chart list,Randa Bustami,Closed,Is duplicate of #6417,"can you make the gantt chart list expandable and can be collapsed? so we can focus om a specific  issues?
 "
26409,Show assignee on gantt,Go MAEDA,Closed,"Related to #27672, Blocked by #20481","Needless to say, assignee is important information to manage projects. It would be great if assignee is displayed on gantt.

I have found some similar requests on the forum:

* message#51259
* message#28056
* message#33695"
26358,Change unit of time for time tracking,César DJ Caësar 9114,Closed,Is duplicate of #877,"For the moment, the time spent is measured in hours.
I'd like to customize it, to be able to set ""seconds"" or ""days"" for example.

Could it be possible to have a parameter in project or global Redmine configuration to set a unit of time tracking?"
26357,Checking time tracking even if no hour spent,César DJ Caësar 9114,Closed,Is duplicate of #9090,"For the moment, we can only access the time tracking of a tracker if we have at least 1 hour spent.
The problem is that I don't count time spent in hour but in days, and I created custom fields.
The users sometimes put the real amount of hours spent, and sometimes ""0"", because they indicate that they spent ""X"" days.

Is it possible to access the time tracking of a tracker even if we have no hour spent on it?"
26327,Redmine Should have Defeult Categories for Project trackers. See description.,Stweard Mackenzie,Closed,Is duplicate of #1278,"Redmine should allow users to define project's default Categories (so, the user does not have to be creating the default ones for every project)... For example, i use the Category Field for specifying that the users is a Data, Design, Functionality, Usability, or any other needed for the project.. so, if i would like not to have be type it every time i create a project or sub, i want to be able to define it in an administrative module.

Thanks in Advance."
26326,Adanced relation handling for Issue Import,Robert Barnebeck,Closed,Related to #28213,"As in Ticket #25799 mentioned, there would be a little improvement for the ticket import via CSV useful: We want to use ticket imports for new projects, where we have our standard tickets. But we don´t need all of these tickets for every new project. When deleting some rows, the relational row-link to the parent ticket can change. So it would help to relate to a defined ID-Column or something, where the ID doesn´t change, even if rows are deleted inbetween."
26184,wiki page in project top page,sachin banugariya,Closed,Is duplicate of #26554,"hello,
i want to add my specific project wiki page as my redmine home page with dropdown option with that wiki name.

or if not possible in dropdown list then also ok i directly get on my home/my page of redmine with other redmine home page block.

thanks."
26165,API for Redmine configuration & information,César DJ Caësar 9114,Closed,Is duplicate of #9912,"Hello,
Is it possible to have an API allowing to get info (Redmine Version, environment, SCM, plugins, etc.) of a Redmine instance, and also to get and set the configuration (the ""settings"" page)?

For instance, I have to code an node app differently depending on the version of the Redmine instance."
26077,Add project Icons,Bartłomiej Ekiert,Closed,"","Hi.

Please create an new project page view. I wish to add an images for projects. 

The project can be presented like in the attached file.

Best regards
Bartłomiej Ekiert
"
26033,"Respect ""Objects per page"" option when displaying forum replies",Go MAEDA,Closed,Related to #26030,Replies per page in forum is fixed to 25 by REPLIES_PER_PAGE constant (source:tags/3.3.3/app/controllers/messages_controller.rb#L31). But I think it should respect Setting.per_page_options like other features.
25810,Add #ID into Import Feild for update issue properties,Jack Black,Closed,Is duplicate of #23448,"When I use Import menu, I found the Import menu only can create issues, couldn't update exist #ID issues.
Sometime when I out of network, I have to update data via csv files. When I back to network, it will a mass of issues need me update, That is very inconvenient.

So I thought, if add #ID into Import Feild mapping, the Import will support update exist #ID issues.
The expect result view may like attached import.png."
25799,Issue Import - Dynamic Parent pasks,Robert Barnebeck,Closed,"Related to #28213, Is duplicate of #22701","We use the issue import feature in Redmine when we have a new project. In every project there is a bunch of issues, which cover typical tasks (design, deployment, accounts, testing e.g.). These tasks are connecetd between each other via parent task. We´d like to connect the issues directly with the import. But we cannot insert the explicit issue number, because the parent issues don´t exist before import. And the second reason is that we want to us the import file as template, so there cannot be specific numbers.

Useful would be a kind of dynamic link between the issues. Maybe one column in the import file represents a local ID, which can be used for the dynamic parent task link."
25792,Add Rest API for activity,Mao H,Closed,Related to #14872,"I couldn't get the activities from the api. The ""Activity"" is the information shown in the tab in the website.

When I tried to query like 
<pre>
curl http://server/pm/projects/12/wiki.json -H ""Content-Type: application/json"" -H ""X-Redmine-API-Key:<my key>""
</pre>
I don't get the any values back. The server's log shows:
<pre>
tarted GET ""/pm/projects/12/activity.json"" for 192.168.1.6 at 2017-05-08 21:33:27 -0700
Processing by ActivitiesController#index as JSON
  Parameters: {""id""=>""12""}
  Current user: anonymous
Filter chain halted as :check_if_login_required rendered or redirected
Completed 401 Unauthorized in 7ms (ActiveRecord: 1.8ms)
</pre>

It seems like ActivitiesController does the authorization differently. By ""differently"", I mean it's different from other controllers such as those for issues. For example, when I query the issues like this:
<pre>
curl http://server/pm/projects/12/issues.json -H ""Content-Type: application/json"" -H ""X-Redmine-API-Key: <my key>""
</pre>

It can return the values and the server's log shows
<pre>
Started GET ""/pm/projects/12/issues.json"" for 192.168.1.6 at 2017-05-08 21:35:16 -0700
Processing by IssuesController#index as JSON
  Parameters: {""project_id""=>""12""}
  Current user: <my name> (id=7)
  Rendered issues/index.api.rsb (12.3ms)
Completed 200 OK in 142ms (Views: 11.7ms | ActiveRecord: 25.6ms)
</pre>

The user is definitely authorized for activities, as I can view them from the website. And it's seems like it is doing the authorization differently for the api."
25779,cannot know who delete issue,Randa Bustami,Closed,Is duplicate of #18027,"we don't know who delete issue, can we add a notification mail to the project manager notify him that user ""x"" delete an issue  from the project at ""date""+"" time""
 "
25776,Automated Plugin installer,Kamil .,Closed,Is duplicate of #24611,"It would be great if Redmine could support Plugins installation in a ""Wordpress"" manner, where user can browse a plugin from a repository (or simply uploads ZIP file) and Redmine does the rest.
"
25768,Group hierarchy,Trường Đặng,Closed,Is duplicate of #7774,"I have three groups of beneficiaries: Mobile developer, iOS developer, Android developer.
I wish the filter to 'iOS developer' it will include 'Mobile developer' but not include  'Android developer'"
25746,Spent time - CUSTOM fields - permissions,Jenda Benda,Closed,Is duplicate of #31859,"Dears,

first of all thanks a lot for all the effort!

We really appreciate ""Issue custom fields permissions"" possibility settings.

Could you please implement the same feature/approach for ""Spent time custom fields""? I believe this could help a lot for many redmine users and the approach/code could be reused.

We need to hide some custom fields for some users, could be also helpful if some would be mandatory during specific stages/statuses of the issue with correlation to user's permissions, etc.

Do you understand our needs? Any questions please? Can I help you somehow with this?

Thanks a lot
Kind regards
jb"
25651,How to make specified item of two custom fileds can be linked.,膺升 陳,Closed,"","Hi all,

I got another request that need all you help,please refer to details as below,
For example,
1.Create two custom fields.One with item A,B,C and another one with item E,F,G,H,I,J.
2.If we choose item A in one custom field,we expect that only item E and F can show up 
in another custom field,how to implement it?"
25650,How to make one custom field automatic counting based on due date changed.,膺升 陳,Closed,"","Hi all,

I got a new request and that need all you help,please refer to details as below,
1.Create a new custom field.
2.Make custom field automatic counting based on due date changed,
i.e.if default value of custom field is 0 and will be updated to 1 if due date changed once,and so on.
"
25578,Import spent time,jarde page,Closed,Is duplicate of #28234,"I think it should be great to have a way to import spent time, something similar to the way you can import issues.
"
25562,restricting the number of files a user can upload,ucp support,Closed,Is duplicate of #18556,"Hi,

By not restricting the number of files a user can upload, the users may
upload numerous large files to exhaust the resources available. This may cause a potential Denial of Service (DoS) scenario

How to limit the number of files a user can upload or how to monitor how many files a user uploaded?

Thank you"
25542,Custom Fields available over the API,Tobias Zimmermann,Closed,Is duplicate of #18875,"Hi Guys,

the /custom_fields.json is not available for normal project members.

I have to validate several custom fields before submit, because redmine reject the issue if custom fields don't match the right values. 

Please make the custom_fields available for projects with the restriction to the members, so that i can set custom fields in the right way.

Regards Tobias"
25512,Favicon for a project (avatar for a project),Bartłomiej Ekiert,Closed,Is duplicate of #5973,"Please add to new release of redmine 3.3.x a new element for the Project List. I need to add icons to a each project, like a avatar."
25454,Add bulk edit after save hook,Serghei Zagorinyak,Closed,Is duplicate of #8757,"Correct me if I'm mistaken, but now there only exists a @issue_bulk_edit_before_save@ controller hook. This makes it impossible to provide consistent behavior for plugins implementing edit_after_save controller hooks.

Say, a user edits an issue via issue view and triggers a @issue_edit_after_save_hook@ which handles the issue in a proper way. The same is expected to happen when an issue is edited via context menu (right click) in any multiple issues view, but there is no way to provide that as @bulk_edit@ method is called for context menus and there is no @issue_bulk_edit_after_save@ hook which makes @issue_edit_after_save@ hook useless.

I think it would be useful to have something like this in issues#bulk_edit controller method:

<pre>
def bulk_edit
  ...
  @issues.each do |orig_issue|
    ...

    begin        
      Issue.transaction do          
        call_hook(:controller_issues_bulk_edit_before_save, { :params => params, :issue => issue })          
        issue.save!          
        call_hook(:controller_issues_bulk_edit_after_save,  { :params => params, :issue => issue })          
      end        
    saved_issues << issue
    rescue ActiveRecord::RecordNotSaved => e        
      unsaved_issues << orig_issue
    end

    ...
  end
  ...
end
</pre>

Hope someone can make a proper patch out of this or provide a better way of managing after_save hooks for bulk edit. Thanks."
25381,Allow project selection when editing timelog entries,Nick Vanpraet,Closed,Is duplicate of #588,"When you go to create a new time entry, and there's nothing project or issue related in the URL, you're given a project selection dropdown.

This patch adds that same project selection dropdown when editing a timelog entry. Also duplicates the javascript that's run on new entries and changes it so it also works with existing time entries so the type of hours, etc get updated when changing projects.

The need for this crops up when project managers have to fix time entries logged on the wrong projects.

This patch is for Redmine version 3.3.2-stable"
25300,Merging issues,Mateusz Batok,Closed,Is duplicate of #7997,"User story:
Sometimes people in team are creating different tickets for the same problem. Moreover in both tickets I see useful information. To avoid copying data from one issue to another, assigning as duplicated etc, I'd like to have posibility to marge selected issues.
It can be available in issues report under right mouse  button.

"
25288,Add links to spent time report table elements,Maxim Krušina,Closed,Is duplicate of #29042,"When working with spent time report, I would like to be able to click on tickets, versions and other elements - just like on any other page in Redmine."
25112,"In Ticket-Queries the ""new"" field ""total spent time"" is forgotten as totals-checkmark - see screenshot",Oskar Schmidt,Closed,Is duplicate of #21450,""
25061,default value for user_custom_field,Tommy Nicolamarino,Closed,Is duplicate of #15358,"Hi Everyone

In attachment I sent the screen when I created my issue ,I created a custom user field called ""REFERENTE EDFS"" I want for each project , set default values of this list(i.e.  project 1  referente edfs (tommy and alex) , project 2 referente edfs ( Mike and john) ecc...

Thanks in advance 

Tommy

"
25054,Enforcing Strong Password in Redmine,Babu J,Closed,Is duplicate of #4221,Enforcing Strong Password in Redmine for the admin users so new user can be created with strong password credentials 
25012,"Allow both '.' and ',' decimal symbols for input of float custom fields",Stephane Evr,Closed,Related to #22024,"In Redmine, inputting decimal values such as ""3.15"" of ""3,15"" in either ""Estimated time"" or ""Spent time"" fields is correctly interpreted and converted back to the proper float format: 3.15 .

I think this behaviour should also be applied to float custom fields."
24943,Issue watchers to have groups in addition to users,Simon Cruise,Closed,Is duplicate of #4511,"Currently each user must be selected one by one to be added to a watcher list.

What I propose is that this list also could contain groups.

In our business we have a large team and generally we would like to add ~10 watchers per issue. This would be a great time saver and avoid accidentally leaving out individuals."
24942,"Additional ""Group by results"" option for parent task",Simon Cruise,Closed,Is duplicate of #5325,"The way our issues are organised is that all issues belong to a parent task, each release has a parent for all of the major items.

We then have a summary search view which currently has a search for Parent set to none which allows only the parent tasks to be displayed.

To view all subtasks related to each feature the user is forced to click into the parent and view in there or else perform a search for items with that Parent.

To improve the user experience for our use case it would be really helpful if the Group by results would have the Parent Task option."
24883,Subscribe to a version / Watch a version,Tobias Fischer,Closed,Is duplicate of #8046,"It would be nice if we could watch a version / subscribe to its changes.

Meaning: If a new ticket is assigned to the version I watch, I will receive an email notification.

Would make it easier to follow milestones in big OpenSource projects (like Redmine)."
24841,Hide projects user is only admin but not has assigned any role in the project overview (as it is already done in the project dropdown),Johann Stein,Closed,Is duplicate of #29482,"Dear developers,

currently redmine lists all projects on the projects page if a user is admin of a redmine instance.

I think it might be more sensible to hide the projects the user is not a regular team member of.
We use Redmine in our organisation and have currenty 90 projects.
There are several admins assigned via the LDAP attribute and it works quite fine.

Though, if the number of projects increases, the project overview page renders quite useless because you will effectively be unable to find your projects.
Ok, the own projects are highlighted by a little yellow star. But I think it might be quite helpful to hide the projects I have administrative access to per default and show these on demand.

Maybe I can assist you on implementing this behaviour but I need a advise where to start from.
Organisations and companies with a large user base and an elaborated project structure might be very grateful.

Thank a lot in advance!

J. Stein"
