id,subject,author,status,related issues,description
26791,Send individual notification mails per mail recipient,Holger Just,Closed,"Is duplicate of #4231, Is duplicate of #11981, Is duplicate of #32291","With this patch series, we are introducing the general concept to send multiple mails per notification event. Specifically, we are sending one mail per recipient user. Each of those mails is rendered in the context of the recipient (i.e. with @User.current@ set to the recipient). The mails can be sent immediately or optionally delayed using ActiveJob.

This approach has a couple of advantages over the existing approach of sending a single mail to multiple recipients:

* We ensure object visibility for the rendered mails in the most generic way. Since each mail is rendered with @User.current@ set to the recipient, all content rendered in the mail (including shown issue attributes, macros and links in rendered textile text, ...) is guaranteed to only be visible to the user without having to ensure this manually for each mail using the same visibility rules as used for the HTML views already.
* The mail will always be sent in the recipients language, even if multiple users with different languages are notified
* There is no risk of the whole notification mail being rejected because of a single invalid recipient address (see #8157, #6829, #8733 and a lot of duplicates)

In the long run, it will also allow us to introduce user-specific additional information in the rendered notification, e.g. related issues, links to assign the issue, ...

With this new approach, we do have a some challenges which we are trying to address separately:

* Since each mail is always rendered with an adapted @User.current@, any mail views which expected to use the original @User.current@ need to be adapted. In Redmine core, this only affects the security notifications.
* Depending on the number of recipients for a notification, there might be many rendered mails which can take some time in the request. To ensure a snappy response, we can use ActiveJob to render and send the mails in the background. This can make the @async_*@ delivery methods obsolete.

h2. Reminder: How mail sending works in plain Rails (and Redmine)

This patch series changes how mails are generated and delivered. Let's first look at how a mail normally gets generated and delivered in ActionMailer.

* @mail = Mailer.news_added(news)@ - The user calls a class-method of the Mailer class (a child-class of ActionMailer::Base). This method is usually not implemented in the @Mailer@ class itself. Instead, there is a ""@method_missing@"":https://github.com/rails/rails/blob/v5.1.2/actionmailer/lib/action_mailer/base.rb#L576-L582 method on @ActionMailer::Base@. Here, ActionMailer creates a @ActionMailer::MessageDelivery@ object. Which is basically a delegator to an _eventually rendered_ mail object. Now, the mail is not actually rendered here. The @MessageDelivery@ object only collects all arguments it needs to eventually render the mail. This happens implicitly when any method on the mail is accessed (e.g. when the mail is about to be delivered). The @MessageDelivery@ delegator is returned to the user.

Now that we have the (delegated) mail, we can deliver it with @mail.deliver@. This method used to be the only delivery method. With newer Rails versions, there is (with some variations) @deliver_now@ and @deliver_later@. Redmine usually calls @deliver@ which in source:trunk/config/initializers/10-patches.rb#L160 calls @deliver_now@ currently.

When calling @mail.deliver@, the delegator starts to render the mail:

* ""@MessageDelivery#processed_mailer@"":https://github.com/rails/rails/blob/v5.1.3/actionmailer/lib/action_mailer/message_delivery.rb#L103-L107 creates a new @Mailer@ instance and calls @process@ on it.
* @Mailer#process(:news_added, news)@ - The @process@ method is part of ActionMailer (and in turn part of the @ActionController@ framework on which ActionMailer is based on). Among things, it calls the specified action, i.e. the instance method.
* @Mailer#news_added(news)@ - This instance method is implemented on the Mailer class and is responsible to render the actual mail message. Here, we set headers, instance variables for the view and basically do the usual controller stuff. With a final call to @mail@, we eventually render a single mail and return a @Mail::Message@ object.
* This returned @Mail::Message@ object is delivered with a call to @Mail::Message#deliver_now@.

h2. How we hook into this process

Now, in order to send multiple mails, we hook into this process to render (and deliver) multiple mails. We want to ensure two things:

* We want to create multiple mails, one per recipient and deliver them all in one go.
* When rendering the mail (i.e. when calling the Mailer's instance method), we want to set @User.current@ to the recipient user and set it back to the original value after the rendering is done

These two goals are achieved with two specific changes to our Mailer:

We introduce a wrapper class called @Mailer::MultiMessage@. Instances of this class wrap multiple @Mail::Message@ objects (or rather @ActionMailer::MessageDelivery@ objects which delegate to @Mail::Message@ objects). The class provides the same @deliver_*@ methods as the original @Mail::Message@ objects. When calling such a method, we are calling it on each of the wrapped messages. This allows us to use an instance of this class in place of a @ActionMailer::MessageDelivery@ object.

We use this class by implementing _class methods_ for each mailer action. These class methods implement the same external interface (i.e. accept the same arguments) as the old instance methods. This ensures that we keep the existing public interface. The class methods fetch the recipient users for the respective object (i.e. the issue, news, comment, ...). We use @Mailer::MultiMessage#for@ to add an @ActionMailer::MessageDelivery@ object for each recipient which eventually renders the mail.

When creating the delegator, we also pass the recipient user to the arguments for the mail rendering. We use this user in the overwritten @Mailer#process@ method to set @User.current@ and their language before actually rendering the message. This convention allows us to keep the interfaces clear: the user is only passed between the class method and @Mailer#process@ but doesn't need to be specified on the instance action. Here, it is already set as @User.current@ for each rendered mail.

We also extend @Mailer.method_missing@ (on the class) to create a single-mail @Mailer::MultiMessage@ object with the current user in case the class method for an action is not explicitly overwritten. This ensures that our convention of always passing a user to @Mailer#process@ is kept up even if a plugin only adds an instance method (which was valid before).

h2. What we tried and did not work

I first attempted to set the current user directly in the action's class method. and reset it directly afterwards. That would have made the code much more localized. However, due to the delayed rendering of the mail with the @ActionMailer::MessageDelivery@ object, the mail will be rendered only after we have already reset the current user.

One way to work around this would be to introduce @deliver_*@ methods (like the now obsolete @Mailer.deliver_issue_add@ method). However doing so would have changed the intended external interface of our @Mailer@ class and would likely lead to integration pain with all existing Redmine plugins sending mail.

h2. What we ship

We ship three patches here:

* @0001-Send-individual-emails-for-each-mail-recipient.patch@ - The main implementation including tests.
* @0002-Cleanup-Remove-Issue-each_notification-and-Journal-e.patch@ - Removes unneccessary methods for grouping recipients based on custom field visibility
* @0003-Optional-Ensure-that-ActiveRecord-Base-objects-are-f.patch@ - An optional patch which changes the serialization behavior when sending mails with ActiveJob (e.g. with @Mailer.news_added(news).deliver_later@). By default, Rails serialized the arguments as a globalid (which is basically a reference to the object in the database identified by its ID). If there are concurrent changes to e.g. a newly created issue, this might result in notifications using the new state instead of the original state. With this patch, we serialize the exact attributes of the given objects into the job. Since this also causes nested attributes to be serialized along, care must be taken to avoid reference errors. In general, we should probably try to use mostly immutable state in the database where it is an important consideration that the notification state is exactly shown in the DB.

h2. Future work

h3. ActiveJob sending

If the general direction of this patch is accepted, it is probably desireable to move the mail sending to ActiveJob completely. This could replace the @async_*@ delivery methods [[EmailConfiguration#Asynchronous-delivery_methods|currently configurable]] in @configuration.yml@. This change can either be hardcoded in source:trunk/config/initializers/10-patches.rb#L160 or made configurable with a setting. I'll be glad to provide a patch for this. It would only be a few lines of code.

By default, we could use the in-process ActiveJob runner to send mails. More advanced users with a dedicated job worker (e.g. delayed job) can easily switch to that without changes to the Redmine code itself.

h3. BCC recipients

Since each user gets their own mail, we can probably remove the setting to send mails with BCC completely. If plugins want to send mails to non-user recipients, we would have to make sure to either set the recipients manually on BCC or group them appropriately. It is not a required setting in Redmine core anymore though."
40099,User api filtering by status=* broke on upgrade from 5.0 to 5.1,Joan J,Closed,Is duplicate of #32090,"I am testing the migration path from 5.0.5 to 5.1.1, we use an api call to get all users (active or not), since the user api shows only the active accounts we where using ""status="" or ""status=*"" as a modifier to get all the fields

I've got the ""status="" from this issue https://www.redmine.org/issues/32090

On 5.1.1, for any call with ""status="" we get with the http code 422:
@ {
    ""errors"": [
        ""Status cannot be blank""
    ]
}@


When I am using the filter ""status=*"" the exit code is 500, and on the logs i see:
@
I, [2024-01-23T13:20:22.820689 #2787502]  INFO -- : [0a29895f-ece3-4229-9e91-eeee48cdc573] Completed 500 Internal Server Error in 21ms (ActiveRecord: 5.1ms | Allocations: 3061)
F, [2024-01-23T13:20:22.822546 #2787502] FATAL -- : [0a29895f-ece3-4229-9e91-eeee48cdc573]   
[0a29895f-ece3-4229-9e91-eeee48cdc573] ActiveRecord::StatementInvalid (PG::InvalidTextRepresentation: ERROR:  invalid input syntax for type integer: ""*""
LINE 1: ...1, $2) AND (users.status <> 0) AND ((users.status IN ('*')))
                                                                 ^
):
[0a29895f-ece3-4229-9e91-eeee48cdc573]   
[0a29895f-ece3-4229-9e91-eeee48cdc573] app/controllers/users_controller.rb:64:in `index'
@
"
13244,Restrict log time for old days,Pavel Potcheptsov,Reopened,Is duplicate of #31984,"For example any user have to log his spent time today or tomorrow.
If he try to log time for period more than yesterday - it should be not possible.
There are kind of users that sometimes log their time for period weeks ago and this is bad.
Is there any suggestion how to prevent such things."
1680,Make version description multiline and textilizable,Artem Vasiliev,New,Is duplicate of #31618,"Made Version description support Textile markup to be in-sync with Trac milestone description (supporting its Wiki markup).
We needed this for migrating our projects from Trac, and it appears others need it also, e.g. #1256.

Contributed by Texuna Technologies."
13296,"Permits defining a default ""due date""",Benjamin Jeanjean,New,"Is duplicate of #31518, Is duplicate of #13296","Each project has a ""due date"" (when working with clients). It would be awesome to permits to add a default ""due date"" for a project.
For each new issue, the ""due date"" will be filled by default."
13725,Archive/close a project via API,Fabrice Brito,Closed,Is duplicate of #31377,"Hi!

It would be great to archive or close a project via the API"
14341,Ability to self-register only from ceratain domains,Pavel Odintsov,Closed,"Is duplicate of #14341, Is duplicate of #31340","Could you add ability to restrict email domains for new users by few domain zones (e.x. sysctem can approve xxx@domain.ru, xxx@domain2.ru but deny any other zones)? It's very useful feature in small company's without centralized account management.

thank you!"
21158,Send E-Mail to Redmine: Copy E-Mail Header into Ticket Note,Jens Peter Kempkes,New,Is duplicate of #31338,"I frequently bcc redmine, when I send project updates to clients. 

In the case redmine is not the only receipient, I'd appreciate an option to hardcopy the email header into the ticket note like: 

<pre>
Update from E-Mail 
To: <recipients list>
Cc: <cc list>
</pre>"
28492,Option not to block closing a parent issue when it has open subtask(s),César DJ Caësar 9114,New,Is duplicate of #31321,"Hello,

I saw that: r16108.

But actually, it could be great to be able to close a parent task.
Is it possible to allow this in the ""configuration"" of Redmine? For example:

> ""Allow a parent tracker to be closed even if the sub-task aren't: YES/NO"".

Thanks"
408,Assign a task to multiple users,João Saleiro,Closed,"Is duplicate of #1500, Is duplicate of #1990, Is duplicate of #3043, Is duplicate of #1802, Is duplicate of #3444, Is duplicate of #4211, Is duplicate of #4711, Is duplicate of #5644, Is duplicate of #6619, Is duplicate of #9418, Is duplicate of #408, Is duplicate of #31234","It would be great if it was possible to assign a task to multiple users; And have another state, ""being solved"",
where a task is locked and ""assigned"" to a specific one.

Why: 

In some teams, there are several workers with the ability to solve a specific task. It would be preferable to assign
a task to several workers, and the first who gets available would then grab the task, setting the ""being solved""
to himself.
"
31113,Update Rails to 5.2.3,Marius BĂLTEANU,Closed,Is duplicate of #31112,"https://weblog.rubyonrails.org/2019/3/28/Rails-5-2-3-has-been-released/
"
29449,Filter out issues from closed projects in My Page blocks,Maxim Krušina,Closed,"Is duplicate of #17006, Is duplicate of #30460","Users see issues assigned to them on My Page, even when the project is closed.
So it's difficult because someone with rights to open/close project needs to re-open project, close affected issues (or change Assignee) and then close project again.
I think that the best solution is NOT to display issues of closed projects on the user's My Page."
29490,Ability to restrict time logging on certain tracker types,Mandar W,New,Is duplicate of #30336,"I would like to have a flag that can restrict time logging against a particular type of Tracker. e.g. time can be logged against 'Bug' or ' Task' but *not* against 'Feature' 
In the projects in our setup, we have created a custom type called 'Epic' which represents a big feature that could span across sprints. Epic will contain Features. And users should not be able to log time against custom type 'Epic' or 'Feature'"
15835,New permission to allow to view all projects,Christian S.,New,Is duplicate of #29992,"We are developing an synchronization of projects between Redmine and another application with the usage of the Redmine REST-API. Now we have noticed that only if you take the API key of an Administrator you get a list of all projects. Otherwise you only get the list of projects you are involved in.

But using an Administrator as API-User is a security risk.

It would be nice if there could be added a new permission for viewing all projects. This would not only be good for the API but also for the project management."
8757,Add hook for bulk edit post-save state,Ramesh Nair,New,"Is duplicate of #25454, Is duplicate of #29897, Is duplicate of #5714","There is a hook which gets invoked just after an individual issue gets updated, which allows for plugins to perform any post-save actions. There ought to be a similar hook for when a number of issues have been updated via the bulk-editing process. I've patched the core code to enable such a hook - `controller_issues_bulk_edit_after_save`.

Patch available at https://github.com/7citylearning/redmine/commit/f88c6ca01e89246b5bcd62fa26cc651ee33ba212"
12388,diffs for editions of issue/notes entries,Pawel Orzechowski,New,"Is duplicate of #26527, Is duplicate of #29687, Is duplicate of #2598, Is duplicate of #36509","It should be possible to see what changes had been done to the issue/note if someone edited it after it was already created.
If I edit issue description there is a diff entry generated. But if I edit the note itself there is no info that the note was edited."
9020,Auto upgrade of redmine and plugins making it much easier to manage the versions,Rand C,New,"Is duplicate of #29624, Is duplicate of #16462","Can we get a feature much like Jenkins already has where you can go to a management area for the readmine app and upgrade your app version. Also create a manage plugins area. 
Please install jenkins and look at these areas they have, you need this stuff badly."
28170,"Filter issues by ""Associated revisions""",Joel SCHAAL,New,Is duplicate of #29615,"In the issues view, it would be helpful to filter issues in that way:
* only show issues that have no associated revisions
* only show issues that have associated revisions
* only show issues that have no associated revisions in _<repository>_
* only show issues that have associated revisions in _<repository>_
* (only show issues that have at least N associated revisions)

Is there already a feature request for that ?"
5325,Add Parent Task to 'Group Results By' drop down,Rosalyn Metz,New,"Is duplicate of #5325, Is duplicate of #7646, Is duplicate of #10559, Is duplicate of #24942, Is duplicate of #29519","I just upgraded to the newest version of Redmine in order to take advantage of the subtask feature.  However I can't group tasks for a particular project by Parent Task.

To replicate go to a project and choose ""Issues"" from the top menu.  Choose the ""options"" section and then open up the drop down menu for ""group results by"".  I have attached a screenshot.


---------------------
server info
---------------------
ruby 1.8.6 (2007-09-24 patchlevel 111) [i386-linux]
Rails 2.3.5
mysql  Ver 14.12 Distrib 5.0.77, for redhat-linux-gnu (i386) using readline 5.1
redmine Revision: 3671
"
13919,Mention user on issues and wiki pages using @user with autocomplete,Diego Antunes,Closed,"Is duplicate of #15828, Is duplicate of #16478, Is duplicate of #29471, Is duplicate of #38542","https://github.com/dwarburt/redmine-mention-plugin is ok, but I think would be awesome to have something like Github where it has an inline autocomplete for users etc. I think this should be built into the core plugins maybe?

for reference check this out https://github.com/tactivos/jquery-sew"
13307,Start date and due date in email notifications,Benjamin Jeanjean,Closed,Is duplicate of #29254,"Today, the start date and the due date doesn't appears in the email sent when we create a new issue.
It would be really useful to make them appears for being aware of the priority of the issue."
3097,Add CSV export to Gantt,Maxim Krušina,New,Is duplicate of #29212,Then it can be converted to Excel file for further reporting to clients
18006,Project's custom fields should be available in issue lists columns,Stéphane Dubois,Resolved,"Is duplicate of #19094, Is duplicate of #29131","In an issue list, it is possible to filter by Project custom field but it is not possible to display those project custom fields in the issue list (fields not present in Options/Available columns)"
1385,Script for import from JIRA,Charles L,New,Is duplicate of #29097,"I've attached ""migrate_from_jira.rake"", which was modeled on both the trac migration script, and jira2trac.rb which can be found at trac's home page.

Though it isn't as polished as it could be, it gives better fidelity than jira2trac.rb + migrate_from_trac.rake, and hopefully it servers as a good starting point for any other tweaks needed to do a decent import.

It currently takes as input (as per jira2trac.rb), an xml dump of issue info from jira. Based on that, it imports projects, sub-projects, users, issue categories, issues, and issue comments."
26655,Additional icon for contextmenu,Felix Gliesche,Closed,"Is duplicate of #1590, Is duplicate of #5739, Is duplicate of #29074","The contextmenu is a very helpful feature that can increase the productivity while working with redmine. Many people don't know of this great feature because it is only triggered by a right mouse click, which is not a common user interaction on the web. In order to make this feature more prominent this patch adds an icon to table rows that have a contextmenu, which allows to trigger the appearance of the contextmenu with a regular mouse click. 

As there was no icon with three dots available in the famfamfam available, we created our own by using an existing icon with a dot.

This gif shows this new icon in action on the issues table:

!contextmenu.gif!"
5535,Assigned to issuelist filter: added <nobody> value,Radek Antoniuk,New,Is duplicate of #28924,"the filter in the issue list should list <nobody> as well, to make it possible to filter out issues that are assigned to user X OR not assigned at all
"
9122,Tracking adding/removal of watchers in the ticket history,Kirill Vasiliev,New,"Is duplicate of #10230, Is duplicate of #11213, Is duplicate of #28913",It should be possible to track adding and removal of watchers in the ticket history (mainly because of possibility to remove watcher after ticket was closed).
27090,Show the number of attachments on wiki pages,Tomomi Yuzuriha,Closed,Is duplicate of #28893,"I noticed the problem that users cannot know whether there are any attachments unless users expand the ""File"" section by clicking it.

To resolve the problem, I suggest showing attachments count on ""Files” section.
Please see the screenshots below for the details.

h2. before
!before.png!

h2. after
!after.png!

Patch: attachment:show_attachments_count_of_wiki_page_trunk_r16963.patch
(Compatible the latest trunk r16963.)"
28011,Setting for My page blocks to change the maximum number of issues,Go MAEDA,New,Is duplicate of #28683,"The maximum number of issues to be displayed on a My page block is fixed to 10. But sometimes I want to see more issues on blocks.

I think it is useful and will increase flexibility if each block has a setting to change the maximum number of issues.

!{width: 507px; border: 1px solid #ccc;}.mock-my-page-maximum-number-of-issues@2x.png!
The screenshot above is just a mock. I haven't written any codes."
23546,"Issue visibility ""watched by, created by or assigned to"" for roles",Felix Schäfer,New,"Is duplicate of #27028, Is duplicate of #28223, Is duplicate of #28614, Is duplicate of #32491","There's been a bit of discussion (parts of #8488 and other) and some patches already for this or similar (#14318#note-22) and others.

We wanted to contribute our ""minimal"" solution for this. This is a new ticket to avoid discussing ever more diverging patches on for example #8488."
9309,Add description field to custom queries,Anonymous,Closed,"Is duplicate of #28533, Is duplicate of #39047","Especially for public queries, it would be really useful to provide a simple description field where one could describe what the query displays and what it's used for."
26662,Add border around issue history to prevent accidental deletion of an issue,Go MAEDA,Closed,Is duplicate of #28514,"In my observation, some users accidentally delete an issue trying to delete last note. The misoperation is probably caused by the current UI of Redmine. The delete button at the bottom of IssuesController#show page looks as if it is a button for delete the last note, but actually it is a button to deletes the issue.

Such misoperation can be prevented by making a slight change to UI. Please see the following screenshots. By adding border around issue history, it becomes clear that the button is not a button for deleting the note. Our company have succeeded in significantly reducing accidents that our customers mistakenly delete an issue by implementing the change.

The patch was extracted from ""farend basic"":https://github.com/farend/redmine_theme_farend_basic theme.

*Before:*
!{width: 787px;border: 1px solid #ccc;}.border-around-history-before@2x.png!

*After:*
!{width: 787px;border: 1px solid #ccc;}.border-around-history-after@2x.png!
"
26853,Fix hardcoded project-index width for webkit and mozilla browsers,Ilya Malahovskiy,Closed,"Is duplicate of #27174, Is duplicate of #27399, Is duplicate of #27556, Is duplicate of #27558, Is duplicate of #28005, Is duplicate of #28473, Is duplicate of #28122",
8629,Allow assigning issues and/or watcher status to authenticated non members,Paul Wilson,New,Is duplicate of #28405,"This feature request is vaguely similar to #7342 but that issue doesn't particularly fulfill this request.

Our redmine installation is configured to require authentication for access and for manual account activation for self registered accounts.

Since we require authentication for access, most projects on this system are configured as public and the Non member role set to permit view access and edit to forum, issue tracking, wiki, etc. This was done to allow all within the organization to have limited access to all public projects and was working as expected.

But while the majority of the activity within a project is accomplished by the active members of the project team who are all assigned to the project and associated with some role, it is not uncommon for an issue to require action by someone who is not a direct member of the team however, unless a user is actually a member of a project, as Non members they cannot be assigned tasks or designated as watchers.

As a work around, we have an 'Associated' role cloned from the Non member role and an 'Authenticated User' group that includes all (authenticated) users. This Authenticated user group is assigned to every public project with the 'Associated' role but as the number of workflow permutations is a function trackers X roles, a new role requires configuring (and maintaining) an additional workflow for each tracker.

This work around gives us the results we need but it also requires an additional step to ensure each user gets put into the 'Authenticated user' group.

While this work around is more or less acceptable, it would be friendlier if the issue Assignee selection list on the New Issue view and the add watcher list on the update issue view could be sorted and grouped by roles. Or better yet, sorted by roles and have the roles expandable/collapsable! Also, the issue Watcher list on the New Issue view would also be more friendly if it also were a select list as on the update issue view or at least expandable/collapsable as described above.

 


"
8488,Create an 'Involve' mechanism to private issues,Bruno Medeiros,New,"Is duplicate of #9330, Is duplicate of #10173, Is duplicate of #12584, Is duplicate of #11718, Is duplicate of #13828, Is duplicate of #14318, Is duplicate of #27028, Is duplicate of #27677, Is duplicate of #28368, Is duplicate of #29911, Is duplicate of #13512","As requested by some people (#7414#note-16, #7412#note-3, and so on), sometimes we need to involve someone that cannot access an issue by ""default rules"". It can happen, for example, when a customer send a problem via email and we need to create a Redmine issue ourself, and give this customer access to the ticket.

I asked Jean-Phillipe on #7412#note-2 to extend the visibility of an issue to observers, and some people liked it, but it was not done because observe mechanism was designed for notification purposes (I now I agree it is not good, that's why I'm creating this feature request).

So my request is:
Create a involve mechanism where some roles can add people in an issue, in a very similar way they add an observer, and the added users have access to the issue the were involved."
1737,autowatch issues,colin moock,Closed,Is duplicate of #28312,"i'd very much like to have a feature similar to Patch #222. that is, a per-user option to:

* ""auto-watch issues i've modified"" (i.e., autowatch if i create or modify an issue)
* ""auto-watch issues assigned to me""

Unlike Balazs (author of Patch #222), i'd want users to be able to choose their own ""autowatch"" policy.

Other than Patch #222, I couldn't find any other mention of this feature. Are there plans to implement it?"
23546,"Issue visibility ""watched by, created by or assigned to"" for roles",Felix Schäfer,New,"Is duplicate of #27028, Is duplicate of #28223, Is duplicate of #28614, Is duplicate of #32491","There's been a bit of discussion (parts of #8488 and other) and some patches already for this or similar (#14318#note-22) and others.

We wanted to contribute our ""minimal"" solution for this. This is a new ticket to avoid discussing ever more diverging patches on for example #8488."
23448,Allow updating existing issues via CSV import when their ID's are the same,Xavier Godon,New,"Is duplicate of #25810, Is duplicate of #28202, Is duplicate of #31830, Is duplicate of #32496","I'd like to have the possibility to update issues with a csv import.
Atm, if i import a task with an already existing ID, the ID changes and a new task is created."
29712,Preview and wiki toolbar for full width custom fields,Go MAEDA,Closed,"Is duplicate of #28085, Is duplicate of #30745","Currently, full-width custom fields don't have preview feature and wiki toolbar.

Since those look like a description field, I think it would be great and makes UI consistent to have preview and toolbar.

!{width: 707px; border: 1px solid #ccc;}.preview-and-toolbar@2x.png!
"
29308,Time entry creation: preserve 'spent on' value when using 'Create and Continue',Jens Krämer,Closed,Is duplicate of #28081,"When creating a time entry and using the 'Create and continue' button to save and return to the form, the previously entered date is replaced with the current date while issue id and activity are preserved. This patch changes that so the previously entered date is preserved as well."
4569,Cannot add new version if all versions are closed (from issues page),Nick Fitzgerald,New,"Is duplicate of #13838, Is duplicate of #27920","With feature #4315 new versions can be added from the issues page. However, if all of the existing versions are closed, the Target version field does not appear and therefore this feature is not available. It would be nice for this option to be available, otherwise it defeats the purpose of this change."
26534,Allow project bulk edit of time entries,Marius BĂLTEANU,Closed,Is duplicate of #27879,"This issue follows #588#note-28 and adds the project field to bulk edit mode for time entries.

- Activity field is updated on project change (actually, the entire form is replaced on project change)
- Issue autocomplete is available only for bulk editing of time entries from the same project
- Added the ""Clear"" checkbox to the issue field.
- Moved the method ""bulk_edit_error_messages"" from issues_helper to application_helper because now it is used by both entities (issue and time entry)."
10171,Updating journal notes via REST API,Taha Jahangir,Closed,Is duplicate of #27870,"Currently viewing journals via REST API is possible (with include=journals), but there is no way to update them.

Note that journal notes are edtiable in main ui."
14342,Apply changes on parent issue to subtasks when copying issues,Luis Furtado,New,Is duplicate of #27864,"When I copy tasks with subtasks, the changed properties are applied only in the parent tasks.

<pre>
Environment:

  Redmine version                          2.2.3.stable
  Ruby version                             1.8.7 (i686-linux)
  Rails version                            3.2.12
  Environment                              production
  Database adapter                         MySQL

Redmine plugins:

  redmine_impasse                          1.2.2
  redmine_screenshot_paste                 2.1.0
  redmine_wiki_extensions                  0.6.2
  redmine_wiki_lists                       0.0.1
</pre>"
13981,Abilty to configure subject of email,Jan Kix,New,"Is duplicate of #13083, Is duplicate of #27680","It would be nice to be able to configure the subject of an email.

Sequence now: [""Project"" - ""Tracker"" #""Number""](""Status"")""Subject""

=> the whole sequence should be configurable, f.e.: [""Project"" - ""Subject""] #""Number""

"
8488,Create an 'Involve' mechanism to private issues,Bruno Medeiros,New,"Is duplicate of #9330, Is duplicate of #10173, Is duplicate of #12584, Is duplicate of #11718, Is duplicate of #13828, Is duplicate of #14318, Is duplicate of #27028, Is duplicate of #27677, Is duplicate of #28368, Is duplicate of #29911, Is duplicate of #13512","As requested by some people (#7414#note-16, #7412#note-3, and so on), sometimes we need to involve someone that cannot access an issue by ""default rules"". It can happen, for example, when a customer send a problem via email and we need to create a Redmine issue ourself, and give this customer access to the ticket.

I asked Jean-Phillipe on #7412#note-2 to extend the visibility of an issue to observers, and some people liked it, but it was not done because observe mechanism was designed for notification purposes (I now I agree it is not good, that's why I'm creating this feature request).

So my request is:
Create a involve mechanism where some roles can add people in an issue, in a very similar way they add an observer, and the added users have access to the issue the were involved."
684,Add journal count on issues list,jinwoo lee,New,"Is duplicate of #684, Is duplicate of #27541","I think that viewing journal count is better than nothing.
Because it is easy to understand issues's activity.
so I make this patch."
449,Keyboard shortcuts,Motohiro Takayama,Reopened,Is duplicate of #27401,"It would be so convinient and productive if redMine supports keyboard shortcuts like Trac or some nifty web apps.
For example,  press Ctrl+R to preview, Ctrl+S to submit, Ctrl+/ to enter search text, ...

To support above, we would only need to add ""accesskey"" attribute to elements (like input, a).

Thanks,"
6846,Add VIM-like keyboard shortcuts,David Petersen,New,Is duplicate of #27401,"It would be very sweet to be able to navigation the issues list from the keyboard.
examples:

j: down
k: up
o: open/view issue
x: select issue (allowing for multiple issue selection)
?: show keyboard shortcut help

I am sure there are more that would be helpful "
1140,Filtering using more than one instance of each field,Paolo Sulprizio,New,"Is duplicate of #4560, Is duplicate of #27365","I would like to filter issues using more than one instance of each field.
Example:
issues with subject containing ""email"" but not containing ""server""..."
3848,Permission to log time for another user,Cedric VINCENT,Closed,"Is duplicate of #10753, Is duplicate of #27328, Is duplicate of #7239, Is duplicate of #9276, Is duplicate of #6486","This patch allows the current user to record the time spent by another one, as you can see in attachment:timelog1.png and attachment:timelog2.png I wrote this patch because my co-workers are too -lazy- busy to update their issues ;)

I never programmed in Ruby before this patch, so feel free to rewrite it at your convenience. Maybe an exception should be thrown in the controllers if the current user tries to edit a time entry he is not allowed to, even if it is already checked in the views.
"
3972,Translation for field values,Martin G,New,"Is duplicate of #6040, Is duplicate of #7113, Is duplicate of #15575, Is duplicate of #12295, Is duplicate of #11964, Is duplicate of #16250, Is duplicate of #27234","It would be very nice when the values of fields can be translated in different languages. For example:
1st user has choose language english -> So he see the ticket status ""new"" to choose
2nd user has choose language german -> So he see the ticket status ""neu"" to choose"
7360,"Issue custom query: default query per instance, project and user",Mike Kokhanov,Closed,"Is duplicate of #7999, Is duplicate of #12689, Is duplicate of #7244, Is duplicate of #16102, Is duplicate of #2829, Is duplicate of #7993, Is duplicate of #9279, Is duplicate of #22156, Is duplicate of #16249, Is duplicate of #15566, Is duplicate of #27128, Is duplicate of #36198, Is duplicate of #39041","It would be nice to be able to create a default custom query, so when I get to issue list of a project, I don't need to select my preferable custom query from the list."
13814,No more comments when ticket closed,Sven Culley,New,"Is duplicate of #18382, Is duplicate of #27036",Is there a possibility to prevent users from commenting on closed tickets?
8488,Create an 'Involve' mechanism to private issues,Bruno Medeiros,New,"Is duplicate of #9330, Is duplicate of #10173, Is duplicate of #12584, Is duplicate of #11718, Is duplicate of #13828, Is duplicate of #14318, Is duplicate of #27028, Is duplicate of #27677, Is duplicate of #28368, Is duplicate of #29911, Is duplicate of #13512","As requested by some people (#7414#note-16, #7412#note-3, and so on), sometimes we need to involve someone that cannot access an issue by ""default rules"". It can happen, for example, when a customer send a problem via email and we need to create a Redmine issue ourself, and give this customer access to the ticket.

I asked Jean-Phillipe on #7412#note-2 to extend the visibility of an issue to observers, and some people liked it, but it was not done because observe mechanism was designed for notification purposes (I now I agree it is not good, that's why I'm creating this feature request).

So my request is:
Create a involve mechanism where some roles can add people in an issue, in a very similar way they add an observer, and the added users have access to the issue the were involved."
23546,"Issue visibility ""watched by, created by or assigned to"" for roles",Felix Schäfer,New,"Is duplicate of #27028, Is duplicate of #28223, Is duplicate of #28614, Is duplicate of #32491","There's been a bit of discussion (parts of #8488 and other) and some patches already for this or similar (#14318#note-22) and others.

We wanted to contribute our ""minimal"" solution for this. This is a new ticket to avoid discussing ever more diverging patches on for example #8488."
23518,Move action links and edit form above the history when displaying comments in reverse order,Mikhail Varabyou,Closed,"Is duplicate of #7637, Is duplicate of #26861","When we switch comments to reverse chronological order `action_menu` and div#update are still below History section. This requires either scrolling to the top or to the very bottom of the page to be able to click ""edit"".
Is it possible to move `action_menu` and `edit` partials above div#history for User.current.wants_comments_in_reverse_order? ?"
