#,Subject,Author,Status,Related issues,Description
38495,Java API - Issue Redmine,Eliana Monteleone,Closed,"","<pre><code class=""java"">
public String doPostIssue() throws IOException {

        DefaultHttpClient httpclient = new DefaultHttpClient();

        httpclient.getCredentialsProvider().setCredentials(
                new AuthScope(""redmine.org/issues"", 80),
                new UsernamePasswordCredentials(""admin"", ""admin""));

        HttpPost httpPost = new HttpPost(""http://www.redmine.org/issues"");

        System.out.println(""executing request:\n"" + httpPost.getRequestLine());
        HttpEntity entity = new EntityTemplate(cp);
        httpPost.setEntity(entity);
        HttpResponse response = httpclient.execute(httpPost);

        HttpEntity responseEntity = response.getEntity();
        String value = """";
        System.out.println(""----------------------------------------"");
        System.out.println(response.getStatusLine());
        if (responseEntity != null) {
            System.out.println(""Response content length: ""
                    + responseEntity.getContentLength());
            value = responseEntity.getContent().toString();
        }
        System.out.println(EntityUtils.toString(responseEntity));
        httpclient.getConnectionManager().shutdown();
        return value;
    }

    ContentProducer cp = new ContentProducer() {
        public void writeTo(OutputStream outstream) throws IOException {
            Writer writer = new OutputStreamWriter(outstream, ""UTF-8"");
            writer.write(""format=json&action=new&"");
            String payload = ""{\""issue\"": {\""subject\"": \""New Issue by Eliana\"",\""description\"": \""Some description\"",\""tracker_id\"": \""1\"",\""priority_id\"":\""3\"",\""custom_fields\"": [{\""id\"": \""1\"", \""value\"": \"""" + new Random().nextInt() + ""\""}]}}"";

            writer.write(payload);
            writer.flush();
        }
    };
</code></pre>



I have this response: 


<pre>
POST http://www.redmine.org/issues HTTP/1.1
----------------------------------------
HTTP/1.1 301 Moved Permanently
Response content length: 0
</pre>


How should I fix it? "
38481,Further narrow search results with issues filter,Go MAEDA,Closed,"","The attached patch adds ""Apply issues filter"" button to the search. Clicking the button will display issues in the search results on the issues page. You can further narrow the search results by adding filters on the page.

Redmine's search engine sometimes returns a large number of results. However, unlike the Issues page with its powerful filters, the search engine does not offer many ways to further refine such results. This new ""Apply issues filter"" button solves the problem.

""Apply issues filter"" will be displayed above the search results when the results include one or more issues. When you click the button, the issues included in the search results will appear on the Issues page. In other words, it converts the search results into an Issues list. You can then use issues filters to further narrow down your search results.

By linking the search engine with the issues filter, it will be easier to find the issues you want to see.

1. ""Apply issues filter"" button is displayed when the search results contain one or more issues.
!{width: 800px; border: 1px solid grey;}.clipboard-202304210006-osgl9.png!

2. Click the button to display the issues in the search results in the issues list. You can refine the result by adding other filters.
!{width: 800px; border: 1px solid grey;}.clipboard-202304210006-3mvxw.png!
"
38459,"Support ""My bookmarks"" in the search",Go MAEDA,Closed,"","The search currently doesn't yet support the option for projects ""My bookmarks"" added in Redmine 4.1.0 (#31355). The ""Project"" filter already has the option ""<< my bookmarks >>"". I think it would be nice to add ""My bookmarks"" in the search as well. 

* All projects
* My projects
* current project and its subprojects
* current project

!{width: 726px; border: 1px solid grey;}.clipboard-202304181528-wnlmo.png!

!{width: 636px; border: 1px solid grey;}.clipboard-202304181534-1nmfo.png!
"
38456,"OR search with multiple terms for ""starts with"" and ""ends with"" filter operators",Go MAEDA,Closed,"","Currently, two filter operators ""contains"" and ""contains any"" support multiple terms. When multiple terms are given, those filters perform AND search or OR search.

I propose adding support for multiple terms to ""starts with"" and ""Ends with"" operators as well. If multiple terms are given, those operators will perform OR search.

Here is one of the uses of this feature. Suppose that you want to find issues with PowerPoint or PDF file attached. The result you want is the list of issues that have files whose filenames end with "".pptx"" or "".pdf"". But it is impossible to make a query to get such a result because the current ""ends with"" filter only supports a single term.

If the operator supports multiple keywords, the following filter can be applied to get the result you want.

!{width: 609px; border: 1px solid grey;}.clipboard-202304161138-0fzse.png!

The attached patch adds support for OR search with multiple terms for ""starts with"" and ""ends with"" operators. After this patch applied, all operators except ""any"" and ""none"" for string/text filters will support multiple terms."
38446,Support multiple multi-word phrases in the search engine,Go MAEDA,Closed,Related to #38435,"Currently, the search engine does not support multiple multi-word phrases.

For example, we cannot search objects that contain two phrases ""closed issue"" and ""closed version"". If you give a search string @""closed issue"" ""closed version""@, the search engine search for objects containing three strings ""closed issue"", ""closed"", and ""version"". This is due to the behavior of @Redmine::Search::Tokenizer#tokens@.

<pre><code class=""ruby"">
Redmine::Search::Tokenizer.new(%q|""closed issue"" ""closed version""|).tokens
=> [""closed issue"", ""closed"", ""version""]
</code></pre>

If the Tokenizer returns two tokens, ""closed issue"" and ""closed version"" for the same input, it will be possible to search for multiple multi-word phrases.

"
38435,"""contains any of"" operator for text filters to perform OR search of multiple terms",Go MAEDA,Closed,Related to #38446,"The attached patch adds a new operator ""contains any of"" for string/text filters and ""Any searchable text"" filter introduced by #38402. With this new operator, you can perform an OR search with multiple terms specified in single filter.

For example, if you choose the ""Subject"" filter and specify the ""contains any of"" operator and give ""close block"" as the value, issues containing either ""close"" or ""block"" in the subject will be displayed.

I believe this new OR search support in addition to the AND search added in Redmine 5.0 (#35764) will make Redmine's query system even more powerful.

!{width: 576px; border: 1px solid grey;}.clipboard-202304121202-2fiuq.png!
"
38416,Ability to disable the priority field,Go MAEDA,Closed,"Related to #12745, Related to #35796, Related to #40860","Redmine can disable core fields such as subject, description, and assignee per tracker (#1091). However, the priority field cannot be disabled currently. The attached patch adds the ability to the priority field as well.

I have been asked many times how to disable the priority field. Since Redmine's flexible issue tracking features can be used for a wide range of purposes, there are use cases that don't need the priority field. The ability to disable the priority field will make Redmine easier to use in such use cases.

After applying the patch, You will be able to disable priority as well as other fields in the tracker's edit page. When the priority field is disabled, the default status is set for the newly created issue.

!{width: 606px; border: 1px solid grey;}clipboard-202304071523-ze6i8.png!"
38402,"""Any searchable text"" filter for issues",Go MAEDA,Closed,"Related to #3491, Related to #10574, Related to #14943, Related to #9180, Has duplicate #680","The attached patches add a new issues filter ""Any searchable text"". Unlike existing filters that check a specific single field, this new filter checks all text-type core fields (subject, description, notes) and searchable custom fields. For example, if you apply the filter ""[Any searchable text] [contains] [recipe]”, the issues list shows issues that contain the word ""recipe"" in the subject, description, notes, or searchable custom fields. This is almost the same behavior as the search box in the upper right corner of the page. Actually, this new filter uses @Redmine::Search::Fetcher@, the code of the existing search box.

The new ""Any searchable text"" is useful when you want to find issues that contain a specific keyword but you don't know which field contains the keyword. In Redmine 5.0, you have to try one filter after another, such as ""Subject,"" ""Description,"" ""Notes"", and custom fields. With the new filter, you can find issues that contain the keyword in any of the fields in a single operation.

What is different from the search box in the upper right corner of the page is that this is a filter. This means that you can further refine the result by applying other filters such as the status, assignee, and target version.

!{width: 934px; border: 1px solid grey;}.clipboard-202304021708-v4fbz.png!
"
38372,Use Commonmarker instead of Redcarpet by default when rendering Markdown attachments,Mizuki ISHIKAWA,Closed,Related to #36807,"markdown_formatter returns 'common_mark' only when text_formatting is common_mark, and 'markdown' otherwise.
For example, when you attach an markdown.md file and preview it in an environment where text_formatting is Textile, the contents of the file are converted to HTML by RedCarpet('markdown').

Since RedCarpet('markdown') was deprecated in #36807, why not change markdown_formatter to return 'markdown' only when text_formatting is markdown and 'cmmon_mark' otherwise?"
38368,WebP images support in PDF output,Jun NAITOH,Closed,Related to #38168,"WebP image support has been implemented in RBPDF 1.21.1 gem.
This is a patch to support WebP images in Redmine's PDF output."
38338,JSON formatting,Ivan Cenov,Closed,"","It looks that Redmine does not support JSON code formatting.

Pressing ""code"" button produces a list and there is no ""json"" in it.

It would be great to have this language added here."
38301,"Multiple issue ids in ""Related to"" filter",Ko Nagase,Closed,"","Multiple tickets can be specified in the ""Parent Task"" at  custom query.
> Feature #30482 Multiple issue ids in ""Parent task"" filter

Similarly, this patch enable multiple tickets to be specified in the ""Related To"" field.
(We (@tomokosimi, @sanak and @tohosaku) created this patch in Japan Redmine Patch Meetup 30th (https://redmine-patch.connpass.com/event/274438/) event.)"
38274,Receive e-mail replies to news and news comments,Felix Schäfer,Closed,Blocked by #38273,"Currently e-mails sent in reply to notifications from news or news comments are ignored. The proposed patch adds the ability to import answers to news and news comments.

This patch requires https://www.redmine.org/issues/38273"
38273,Improve errors in MailHandler: add MissingContainer and LockedTopic exception,Felix Schäfer,Closed,"Blocks #38274, Blocked by #38263",There are some cases for which the @MailHandler@ drops incoming emails and just logs an info. This patch replaces this with a custom error to allow for plugins to more easily hook into those unhandled cases. This also unifies the logged message and the error handling in @MailHandler@.
38265,"When the user login is via 'autologin' cookiee, then the password change, and 2fa setting flow should not get triggered",Gaurav Bansal,Closed,"","Hi All,

We have added the flow of insert into the tokens table, with autologin as the cookiee. The flow is working properly if the user settings are no change password after login, 2fa disabled. But if password change is set, or 2fa is enabled, then those flow get triggered as soon as we reirect after login. Ideally if the login is via autologin flow, then these should not get triggered. So either I am doing something wrong, or this can be added as a functionality, if this is something which makes sense to the core team members."
38263,Try importing journal replies as issue reply where applicable,Felix Schäfer,Closed,Blocks #38273,E-mails that are recognised as journal replies are currently discarded if the journal recognised from the message ID is invalid/not present anymore. This happens when a journal is deleted but may also happen when 2 redmine instances are used to send e-mails to each other.
38238,Auto watch issues on issue creation,Felix Schäfer,Closed,"Related to #4347, Related to #38343","Similar to #4347 we propose adding an option to watch issues the user created. This would allow users to more finely control which issues they want to be notified about rather than having to select the ""only owner"" or ""only my events"" and receiving notifications for all the issues the user created. This will also allow in the future to replace the mail notification options with only having auto watching options."
38231,Limit the year to 4 digits in date input,Go MAEDA,Closed,"","Date input fields such as Start date and Due date accept up to 6 digits as a year.

The problem with this is that, for example, when the current date format is YYYY/MM/DD, the cursor automatically moves to the next DD part when a two-digit number is entered in the MM part, but not when a four-digit number is entered in the YY part. So, users should enter TAB to move the cursor from YYYY to MM. This UI inconsistency leads to erroneous input such as ""202302-01"" when you input ""2023-02-01"".

In Google Chrome and Microsoft Edge, this can be improved by set `max=""9999-12-31""` to `<input type=""date"">` tags. When `max=""9999-12-31""` is set, the cursor moves from YYYY to MM immediately after you finish entering the fourth digit in YYYY. The attached patch sets `max=""9999-12-31""` to all date input fields.

The disadvantage of this patch is that you will not be able to enter a year with more than 5 digits, but this should not be a problem since I think that project management rarely deals with dates 8000 years in the future.
"
38216,Add template filenames as comments to HTML output in development mode,Takashi Kato,Closed,"","This patch adds HTML comments to the rendered output indicating where each template begins and ends in development and test mode.

This feature has been added since rails 6.1.

see
"".annotate_template_file_names annotates HTML output with template names #38848"":https://github.com/rails/rails/pull/38848
""Add the configuration option for annotating templates with file names to the generated app #39204"":https://github.com/rails/rails/pull/39204

!erb_filenames.png!"
38168,WebP images support,Go MAEDA,Closed,Related to #38368,"""WebP image format"":https://developers.google.com/speed/webp/, introduced in 2010, are now supported by most browsers (see https://caniuse.com/webp).

The attached patch adds WebP support to Redmine. The following functions will be able to handle WebP.

* Inline image
* Thumbnail of the attached image
* Inserting markup for an image uploaded by drag and drop"
38154,How can i create one new project by copy from template project and without tickets.,qing gu,Closed,"",""
38134,Drop Ruby 2.6 support,Go MAEDA,Closed,"Related to #38099, Related to #31834","The normal maintenance phase of Ruby 2.7 ended on 2022-04-22 (see https://www.ruby-lang.org/en/news/2022/04/12/ruby-2-7-6-released/). And some gems dropped the support for Ruby 2.7.

Redmine currently supports Ruby 2.6, but this prevents us from updating some gems such as Rouge and Capybara."
38099,Add Ruby 3.2 support,Go MAEDA,Closed,"Related to #38100, Related to #38118, Related to #38121, Related to #38124, Related to #38134, Related to #38181, Related to #38220, Related to #39576, Copied to #39761",""
38048,Introduce permission to set a project public,Felix Schäfer,Closed,"Related to #9029, Related to #38210, Related to #39777",In certain situation it might be desirable for project creators or project managers to not be able to change the public attribute for projects.
37947,Export spent time id in CSV file,Christoph Holzer,Closed,"","It would be very useful, if the spent time id will be also exported to csv file."
37878,Allow using ideographic space (U+3000) as a separator for search terms,Go MAEDA,Closed,"","The attached patch allows using ""　"" (ideographic space, U+3000) as a separator for search terms in addition to "" "" (U+0020).

You can perform AND searches by separating terms with a space in the search box or issue filter. Currently, ""space"" means characters that match the regular expression `\s` in this context. It is sufficient in many cases to consider `\s` as space, but not enough in some languages at least Japanese (and perhaps Chinese). This is because they use ""　"" (U+3000) when writing text, so they often mistakenly enter U+3000 instead of U+0020 when they want to separate search terms.

Actually, many services such as Google, Bing, and GitHub treat U+3000 as a separator. I think it is a small but nice improvement for those who use Redmine in languages that regularly use U+3000 if Redmine will support U+3000 as a separator for search terms."
37856,Few Details required,Ethan Hunt,Closed,"","Hi,
1) Want to know the difference between version 4.2.8 and 5.0.3
2) List of plugin support by both of the version
3) Can we install plugin omniauth_google for v5.0.3, if not can you provide other way or option
https://github.com/twinslash/redmine_omniauth_google

* Note :- Please look into it, as its urgent request

Also when i tried to install omniauth_google for 5.0.3 version got below error 


rake aborted!
LoadError: cannot load such file -- redmine_omniauth_google/hooks
/usr/local/rvm/gems/ruby-3.0.0/gems/zeitwerk-2.6.1/lib/zeitwerk/kernel.rb:35:in `require'
/usr/local/rvm/gems/ruby-3.0.0/gems/zeitwerk-2.6.1/lib/zeitwerk/kernel.rb:35:in `require'
/usr/local/rvm/gems/ruby-3.0.0/gems/activesupport-6.1.7/lib/active_support/dependencies/zeitwerk_integration.rb:51:in `require_dependency'
/data/taskman/plugins/redmine_omniauth_google/init.rb:2:in `<top (required)>'
/data/taskman/lib/redmine/plugin_loader.rb:31:in `load'
/data/taskman/lib/redmine/plugin_loader.rb:31:in `run_initializer'
/data/taskman/lib/redmine/plugin_loader.rb:108:in `each'
/data/taskman/lib/redmine/plugin_loader.rb:108:in `block in load'
/usr/local/rvm/gems/ruby-3.0.0/gems/activesupport-6.1.7/lib/active_support/callbacks.rb:427:in `instance_exec'
/usr/local/rvm/gems/ruby-3.0.0/gems/activesupport-6.1.7/lib/active_support/callbacks.rb:427:in `block in make_lambda'
/usr/local/rvm/gems/ruby-3.0.0/gems/activesupport-6.1.7/lib/active_support/callbacks.rb:198:in `block (2 levels) in halting'
/usr/local/rvm/gems/ruby-3.0.0/gems/activesupport-6.1.7/lib/active_support/callbacks.rb:604:in `block (2 levels) in default_terminator'
/usr/local/rvm/gems/ruby-3.0.0/gems/activesupport-6.1.7/lib/active_support/callbacks.rb:603:in `catch'
/usr/local/rvm/gems/ruby-3.0.0/gems/activesupport-6.1.7/lib/active_support/callbacks.rb:603:in `block in default_terminator'
"
37807,Allow access to /robots.txt even if logins are required,Holger Just,Closed,"","Right now, if logins are globally required, the @/robots.txt@ path is not accessible for search engines since the @Welcome#robots@ path also observes this setting. Requests to @/robots.txt@ will thus receive an empty HTTP 401 in this case today.

The attached patch series improves this behavior in multiple ways. The patches were extracted from ""Planio"":https://plan.io/redmine-hosting/.

* @0001-Render-all-visible-projects-in-robots.txt-including-.patch@ - While initially not strictly related to the issue, this patch extends the list of projects included in the @/robots.txt@ to not only list active projects but also closed projects (which are still visible to anonymous). This ensures that the list is correct for cases where the Redmine does not enforce logins. Still, as the @/robots.txt@ file is intended to be consumed by search engines rather than logged-in users, we only list projects which are visible to Anonymous now. The @/robots.txt@ output thus does not distinguish between the project visibility of the current user but will only output projects visible to Anonymous.
* @0002-Always-allow-access-to-robots.txt-for-Anonymous.patch@ - This patch allows Anonymous to always access @/robots.txt@, regardless of the @Setting.login_required@ setting. Previously, this would have been denied if logins are required.
* @0003-Disallow-all-in-robots.txt-if-login-is-required.patch@ - With a required login, Anonymous should not be able to view ANY project information. Even in case some routes are manually excluded from this restriction, we still don't want those to be index by search engines. As such, with required logins, we just instruct all robots to not index anything. This patch also makes sure that we are not leaking any information about public projects in case logins are required. Before this patch (but after the previous patches), we would include a list of all public projects there, even if Anonymous could not see them without a login."
37724,Set custom fields on state,Stefan Mueller,Closed,"","Dear all,
is it possible to set a custom field value on reaching specific state.
E.g.
Reset a custom field if ticket status is reassigned to ""New""
Thank you very much
Best Regards"
37679,Raise the maximum length of the last name to 255 characters,Anthony Mallet,Closed,Related to #13174,"According to r11392, the lastname length is increased to 255 characters.

It seems that the user validations was never updated accordingly and I have some users hitting the limit in a legitimate way.

Would the attached patch be enough to fix the issue?


"
37674,Upgrade Admin/Users list to use the query system,Jens Krämer,Closed,"Related to #4295, Related to #18193, Related to #21055, Related to #4023, Related to #11501, Related to #31043, Related to #38182, Related to #39181, Has duplicate #5017, Has duplicate #36659, Has duplicate #13529","This patch series that was extracted from ""Planio"":https://plan.io/redmine-hosting introduces a UserQuery
and upgrades the Admin/Users list with corresponding filter, sort and (CSV) export capabilities.
Also introduced are a context menu and an option to delete multiple users at once. The third patch just
adds flash messages to the (single) user deletion operation, for symmetry with the messages rendered by the bulk delete.

This relates to issues #4295, #18193, #21055 (probably there are more I didn't find)."
37623,Add Parent task filter and column to Spent time,Micael Broun,Closed,Related to #17946,"Please, add column ""Parent Task"" to report ""Spent Time"".

Devs track time to Tasks, Tasks is steps / part of decomposition to Stories. To understand, what time track for what story, i need to open all tracks and can's see it in report

!https://img.serpstat.com/prayer/2022-08-30_182231_1555x907_vY5KsTtKOQ.png!"
37621,Add field separator option to CSV export dialog,Karel Pičman,Closed,"","I would like to add a field separator option to the CVS export option form.

Background:

If I have set the language e.g. to English in my Redmine profile, the separator is taken from _config/locales/en.yml_ (@general_csv_separator@) and it is *comma*. If I have installed e.g. German Microsoft Office and try to open such a CSV, it expects that the separator is *semicolon*. Unfortunately, Microsoft Office doesn't offer to choose the separator prior opening a CSV file and always uses the default value.

!field_separator_export_option.png!

It is also related to #37581, where many translations have set @general_csv_separator@ to different value than is expected in Microsoft Office.

"
37617,Add description field to custom fields API,Holger Just,Closed,"","The description field is missing from the API response of @custom_fields#index@.

The attached patch adds this field."
37568,It should be possible to set a due date on a subtask without affecting the parent task,Stefan Mark,Closed,"","When setting a due date on a subtask, the parent tasks due date is set to same date and cant be changed later.

I could understand the other way round, but just because a tasks subtask should be done tomorrow, it should not means that the parent task has to be done tomorrow. The other way round maybe.

Note: this might also be Bug, but i am not sure.

Redmine 5, ruby 2.7, mariadb 10 (mysql)

Thanks :)"
37532,Add CSS class for relation type to related issues list,salman mp,Closed,"","There is a function @css_classes_for@ in @IssueRelation@ but only used when displaying relation column in query results.
It's useful to add classes in relations list in issue details."
37530,Add timeout for thumbnail generation process,Go MAEDA,Closed,"","When @Redmine::Thumbnail.generate@ generates thumbnails, some input files can take a very long time to generate thumbnails, causing Redmine to hang.

Today, in my environment, Redmine tried to generate a thumbnail for a particular PDF file and it took almost an hour (3,521,455ms) and finally raised an error. Because there were multiple accesses to the issue with the PDF attached, all processes of Redmine were occupied with the generation of a thumbnail. As the result, all other requests were not accepted and users could not see any page of Redmine.

<pre>
Creating thumbnail failed (`convert /*****/*****.pdf[0] -thumbnail 100x100> png:-` failed with error:
convert-im6.q16: no images defined `png:-' @ error/convert.c/ConvertImageCommand/3229
):
Completed 404 Not Found in 3521455ms (ActiveRecord: 13.3ms | Allocations: 27136)
</pre>

The attached patch sets the timeout of @convert@ command to 10 seconds to prevent similar problems from occurring.
"
37514,Storing credentials in the browser,Alberto Guerrero,Closed,"","The Redmine tool is not properly defining the parameters of the login form, delegating the decision to store credentials in the user's browser to the user.

This possibility, while widely used for user convenience, poses a considerable risk of allowing an attacker to steal the session and credentials of any user who stores such information in the browser of a machine compromised by an attacker or credential-stealing malware.

Solution:

It should be possible to set a control from the redmine configuration to always request the username and password when logging in.

The code that is usually used to do this is to include the following line of code in the HTML file:
<INPUT TYPE=""password"" AUTOCOMPLETE=""off"">
"
37362,CSV export of issues report,Go MAEDA,Closed,Has duplicate #15148,"CSV export of the Issues Report would help project managers create documentation on the status of their projects using spreadsheets and other applications.

!{width: 935px; border: 1px solid grey;}.csv-export-of-issues-report.png!"
37279,"Reject passwords that are the same as login, first name, last name, or email",Go MAEDA,Closed,"","Some lazy users may use their login IDs or their names as passwords. This can be a security threat.

Such passwords should always be rejected."
37167,REST API: Filter issues by multiple tracker ids,Ko Nagase,Closed,"","Currently, filtering issues by multiple tracker ids is possible with analyzing issues query filter.
* http://localhost:3000/issues?f%5B%5D=tracker_id&op%5Btracker_id%5D=%3D&v%5Btracker_id%5D%5B%5D=1&v%5Btracker_id%5D%5B%5D=2&v%5Btracker_id%5D%5B%5D=3

But building above URL path is not strait forward, and it's preferable to support like the following understandable parameter.
* http://localhost:3000/issues.json?tracker_id=1,2,3
* (On current trunk, this request returns 500 Internal Server Error)

Attached patch file enables above simple and understandable multiple tracker ids filter issues request.

Note that this patch was made by @rbt, @tohosaku, @mbasa and me from Redmine patch meetup 14th."
37159,Drop Ruby 2.5 support,Go MAEDA,Closed,Related to #38122,"Recently, more and more of the Gems that Redmine depends on have dropped support for Ruby 2.5. Redmine still supports Ruby 2.5, but this complicates the maintenance of Gemfile.

I think it is time to drop Ruby 2.5 support."
37119,Drop redcarpet dependency for common_mark formatter,Marius BĂLTEANU,Closed,Related to #36892,"Redmine fails to start when it's installed without markdown group (#36892).

We should fix this and drop the redcarpet dependency for common_mark."
37046,How do I make the standard fields to be required,Andrew Beck,Closed,"",I see how we do it for custom and can use workflow for fields to make it required by user/tracker but I was looking for an across the board solution
36992,redmine computed custom field,ashraf alzyoud,Closed,Related to #1712,"i think this plugin must be by default in core redmine 
all users need it"
36938,Update translations of field_principal to User or Group,Holger Just,Closed,"","The term ""principal"" is only used in *very* few places within the user interface and is not really defined elsewhere. In the translations, the term is only used in the @field_principal@ key.

About the only place where I came across this was as a validation error when trying to add a new project member and not selecting a user or group. Here, the error message is:

> Principal can't be blank

As the term ""Principal"" is very obscure here, I propose we generally replace it with ""User or Group"".

In the German translations, things are worse because the term is currently translated there as ""Auftraggeber"" which actually means ""client"" in a strict business sense. Here, ""Benutzer oder Gruppe"" would be more appropriate as a direct translation of ""User or Group""."
36913,Update to Rails 5.2.7/6.1.5,Mischa The Evil,Closed,"Related to #36917, Related to #36918","From the ""RoR-blog"":https://rubyonrails.org/blog/:
> March 11, 2022
> ""Rails 5.2.7 has been released"":https://rubyonrails.org/2022/3/11/Rails-5-2-7-has-been-released
>
> March 10, 2022
> ""Rails 6.1.5 has been released"":https://rubyonrails.org/2022/3/10/Rails-6-1-5-has-been-released"
36908,Improve wording on password change form,Vu Nguyen,Closed,"","As changing new password, I would like to change as below for better understanding. Just change password and misunderstanding the form.

*Password -> Old Password*
New Password
Confirmation
"
36891,Ask more specific confirmation questions when closing/reopening/archiving projects,Holger Just,Closed,"","The attached patch improves the usability when closing / re-opening / archiving projects by replacing the generic (and not really helpful) confirmation ""Are you sure"" with a specific question.

We also remove the redundant confirmation when deleting a project from @admin/projects@. When deleting a project, we will always explicitly ask for a confirmation by requiring the user to enter the project identifier using a dedicated confirmation page.

The patch should apply on current trunk @ r21522."
36825,Increase email address length limit from 60 to 254,Brice Beaumesnil,Closed,Related to #2719,"Hello,

In REDMINE, mail length is limited to 60 characters (MAIL_LENGTH_LIMIT in app/models/user.rb)

To accept all mails, it could be updated to 254 characters. 

(cf. https://blog.moonmail.io/what-is-the-maximum-length-of-a-valid-email-address-f712c6c4bc93)

Thanks."
36823,Allow to import time entries for issues in different projects,Jens Krämer,Closed,"","As it is now, the time entry import only allows to import time entries for a single, pre-selected project. Because time entries can only be imported for already existing issues (which in turn already belong to a project), by definition that pre-selected project is only relevant for time entries that are not attached to any issue.

The attached patch that was extracted from ""Planio"":https://plan.io/redmine-hosting allows to import time entries for issues across different projects. This is achieved simply by ignoring the user-selected project for those rows where an issue id is present, letting the existing logic in @TimeLogEntry#safe_attributes=@ determine the project id.

This is somewhat related to #25808."
36771,RSS Feed of all Projects,Gernot Ploiner,Closed,"","For my Browser-Bookmarks I need a RSS/Atom Feed, which delivers a list of all Projects. With a Link to each Ticket page.
It should be like here: https://www.redmine.org/projects
But the Atom-Feed on this page delivers the ""newest projects"" instead of ""all projects"" as in the HTML view.
Is there any way to get this?
Thank you for your support."
36765,Connect email office 365 with REDMINE,Benjamin BENABES,Closed,"","Hello, i'd like to be guided to connect an email with REDMINE.
Can you help me ?"
36728,Reintroduce lazy loading of i18n files,Pavel Rosický,Closed,"Related to #31384, Related to #36564, Related to #36998","this change restores a removed optimization https://www.redmine.org/issues/31384

see https://github.com/ruby-i18n/i18n/pull/612

<pre>
<code class=""diff"">
diff --git a/lib/redmine/i18n.rb b/lib/redmine/i18n.rb
index b1066539f..13b84512f 100644
--- a/lib/redmine/i18n.rb
+++ b/lib/redmine/i18n.rb
@@ -157,7 +157,7 @@ module Redmine
 
     # Custom backend based on I18n::Backend::Simple with the following changes:
     # * available_locales are determined by looking at translation file names
-    class Backend < ::I18n::Backend::Simple
+    class Backend < ::I18n::Backend::LazyLoadable
       module Implementation
         # Get available locales from the translations filenames
         def available_locales
</code>
</pre>"
36701,Update Chart.js to 3.7.1,Maciej Pankanin,Closed,"","Redmine is now using 2.8.0 which was released almost 3 years ago (14 Mar 2019). There are use cases in which plugin developers would want to use Chart.js but to use latest features they have to ship another js bundle.

""Chart.js 2.8.0"":https://github.com/chartjs/Chart.js/releases/tag/v2.8.0
""Chart.js 3.7.1"":https://github.com/chartjs/Chart.js/releases/tag/v3.7.1

I looked into code, there are only few usages, so it should not be hard to upgrade.

Also it would be nice to upgrade jQuery to latest (3.6.0 atm).
I wonder why jQuery is shipped in single bundle with jQueryUI and Rails UJS making them harder to upgrade.

"
36699,Change the text of the user link when converting @user notation to html,Mizuki ISHIKAWA,Closed,Related to #13919,"#13919 added the Mention feature to Redmine.
There are three types of notations that can be converted to user links: @@user@, @user#1@, and @user:user@. With this change, only @@user@ will have the Mention feature.

Currently, when you convert @jsmith to HTML, you get the link ""John Smith"".
I propose to change this to the following:
* Plan 1. @John Smith
* Plan 2. @jsmith(John Smith)
* Plan 3. @jsmith

Reason for change:
* The functions are different from those of other @user#1@ and @user:user@ notations and should be separated.
* I think it's important to have @ in front of the name so that people who don't know much about Redmine realize that they can use the Mention feature.

Concerns:
Since @jsmith has always been assumed to be converted to ""John Smith"", changing it may break the display of wiki pages and issues.

Please let me know what you think."
36696,Improve performance of adding or removing members of a group,James H,Closed,Related to #36730,"In situations where groups are applied to hundreds of projects (with or without subprojects, with or without inherit members), adding or removing a user from the group takes VERY LONG (more than 5-10 minutes).

Would like to request:
# Better querying optimization?   
# Bulk edit capability   

1. not sure how because I do not know how it queries. maybe something like consolidate multiple queries into fewer big queries?   
2. When looking at the ""users"" tab under Groups, have a checkmark selection and ""Apply All"" button at the bottom for actions applied for multiple users at once. This way it can try to optimize the query for that?    "
36695,Add check in Redmine information page if default queue adapter is used in production,Marius BĂLTEANU,Closed,"","Using the default queue adapter (@:async@) in production is not recommended because the queue is stored in memory and you can easily lose the items from the queue (https://api.rubyonrails.org/classes/ActiveJob/QueueAdapters/AsyncAdapter.html).

Since #26791, there were multiple issues reported caused by the default queue adapter (for example: #31241).

My proposal is to add the following check in Redmine information page:

!{border: 1px solid grey;}.redmine_info.png!"
36691,Background job and dedicated status for project deletion,Jens Krämer,Closed,"Related to #31076, Related to #33422, Related to #37210","Due to the deletion of dependent objects (issues etc) and child projects,
project deletion may take a long time.

This patch, which was extracted from [Planio](https://plan.io/redmine-hosting),
moves the actual project deletion into an ActiveJob job. It also introduces a 
new project status (SCHEDULED_FOR_DELETION) that is used to effectively hide
the project that is about to be deleted (and any potential descendant projects)
from the system immediately.

A security notification is sent out to the user who deleted the project,
informing about success / failure.

The projects list is extended to be able to filter for the new status,
so in case of a failure, the project can still be accessed for
examination."
